hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_id	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:4641	GSTT1	glutathione S-transferase theta 1	protein-coding gene	gene with protein product	Approved	22q11.23 alternate reference locus	22q11.23 alternate reference locus					Soluble glutathione S-transferases	567	1994-08-10			2023-03-15	2952	ENSG00000277656		uc002zze.4	KI270879	NM_000853		P30711	8617495	MGI:107379	RGD:2765			600436					470418										2.5.1.18						"ENST00000612885.4|NM_000853.4"	
HGNC:35418	GTF2H2C_2	GTF2H2 family member C, copy 2	protein-coding gene	gene with protein product	Approved	5q13.2 alternate reference locus	05q13.2 alternate reference locus	LOC730394		GTF2H2D	general transcription factor IIH, polypeptide 2D			2009-01-09	2014-03-28	2014-03-28	2025-10-22	730394	ENSG00000274675			"BC064557|BC065021|GL339449"	NM_001042490		Q6P1K8		MGI:1345669																									"ENST00000621406.5|NM_001354437.3"	
HGNC:4951	HLA-DRB3	major histocompatibility complex, class II, DR beta 3	protein-coding gene	gene with protein product	Approved	6p21.3 alternate reference locus	06p21.3 alternate reference locus			HLA-DR3B		"Histocompatibility complex|C1-set domain containing"	"588|591"	2001-06-22			2015-07-31	3125	ENSG00000196101	OTTHUMG00000012609	uc011ixb.4	"BC008987|GL000250|GL000251|GL000255"	NM_022555		P79483		"MGI:95901|MGI:95902"		IMGT/HLA Database|http://www.ebi.ac.uk/imgt/hla/		612735																					"ENST00000383126.8|NM_022555.4"	
HGNC:4952	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	protein-coding gene	gene with protein product	Approved	6p21.3 alternate reference locus	06p21.3 alternate reference locus			HLA-DR4B		"Histocompatibility complex|C1-set domain containing"	"588|591"	2001-06-22			2015-07-31	3126	ENSG00000227357	OTTHUMG00000138996	uc011jsg.3	"GL000253|GL000254|GL000256"	NM_021983		P13762		"MGI:95901|MGI:95902"		IMGT/HLA Database|http://www.ebi.ac.uk/imgt/hla/																							"ENST00000457451.7|NM_021983.5"	
HGNC:6330	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	"cl-43|nkat6|CD158B1|CD158k"			killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2	"CD molecules|Killer cell immunoglobulin like receptors"	"471|620"	1997-11-14		2016-01-20	2016-01-20	3803		OTTHUMG00000151579	uc061eyy.1	"L76669|GL949748|GL949753"	NM_014219		P43627	"7749980|8662091"	"MGI:2652397|MGI:3612791"		IPD-KIR Database|http://www.ebi.ac.uk/ipd/kir/		604937													CD158k								"ENST00000612594.3|NM_014219.3"	
HGNC:16345	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	"KIR2DL5.1|KIR2DL5|CD158F"			killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A	"CD molecules|Killer cell immunoglobulin like receptors"	"471|620"	2005-06-03		2016-01-20	2018-11-13	57292	ENSG00000274143	OTTHUMG00000151665	uc032ivi.2	"AF217485|GL949747"	NM_020535		Q8N109	"11086080|12185535"	"MGI:2652397|MGI:3612791"		IPD-KIR Database|http://www.ebi.ac.uk/ipd/kir/		605305								I43.951					CD158F								"ENST00000613155.1|NM_020535.3"	
HGNC:16346	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	"KIR2DL5.2|KIR2DL5|KIR2DL5.3|KIR2DL5.4"			killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B	Killer cell immunoglobulin like receptors	620	2005-06-06		2016-01-20	2016-11-09	553128			uc061fdp.1	"AF217486|KI270886|KI270930|KI270914|KI270882"	NM_001018081		Q8NHK3	"11086080|12185535"	"MGI:2652397|MGI:3612791"		IPD-KIR Database|http://www.ebi.ac.uk/ipd/kir/		615727																					"ENST00000611411.4|NM_001018081.2"	
HGNC:6333	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	"EB6ActI|EB6ActII|CD158H"			killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1	"CD molecules|Killer cell immunoglobulin like receptors"	"471|620"	1997-11-14		2016-01-20	2018-11-13	3806	ENSG00000276387	OTTHUMG00000151075	uc061dvn.1	"X89892|GL949751|GL949747|GL949749"	NM_014512		Q14954	8627176	"MGI:2652397|MGI:3612791"		IPD-KIR Database|http://www.ebi.ac.uk/ipd/kir/		604952													CD158H								"ENST00000621207.1|NM_014512.1"	
HGNC:6334	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	"cl-49|nkat5|183ActI|CD158J"			killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2	"CD molecules|Killer cell immunoglobulin like receptors"	"471|620"	1997-11-14		2016-01-20	2016-01-20	100132285		OTTHUMG00000151577	uc061euo.1	"L76667|GL949748|GL949753"	NM_012312		P43631	"7749980|7716543"	"MGI:2652397|MGI:3612791"		IPD-KIR Database|http://www.ebi.ac.uk/ipd/kir/		604953													CD158J								"ENST00000617284.5|NM_012312.5"	
HGNC:6335	KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3	protein-coding gene	gene with protein product	Approved	19q13.4 alternate reference locus	19q13.4 alternate reference locus	nkat7			killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3	Killer cell immunoglobulin like receptors	620	1997-11-14		2016-01-20	2016-11-09	3808			uc061evi.1	"L76670|KI270886|KI270882"	NM_012313		Q14952	8662091	"MGI:2652397|MGI:3612791"		IPD-KIR Database|http://www.ebi.ac.uk/ipd/kir/		604954																					"ENST00000614725.2|NM_012313.2"	
